Year,Annual_Rate,Annual_Rate_Error,Cumulative_Value,Cumulative_Error,Lower_CI_95,Upper_CI_95
1970,2.3362890408246444,2.0762202194658683,2.3362890408246444,2.0762202194658683,-1.7331025893284573,6.4056806709777465
1971,3.08318040053464,2.2374000415742277,5.419469441359282,4.281289802173817,-1.3021236809508463,7.468484482020127
1972,3.537948888898481,2.353327244487236,8.957418330257767,6.586934390646258,-1.074572510296501,8.150470288093462
1973,3.884566409050559,2.443483022087439,12.841984739308325,8.9727721656092,-0.9046603142408216,8.67379313234194
1974,4.223040873717125,2.517343560305583,17.06502561302545,11.387670604779048,-0.710952504481817,9.157034251916068
1975,4.520707757762839,2.5981671419180166,21.58573337078828,13.862987430654636,-0.571699840396473,9.613115355922151
1976,4.810442004989348,2.651857429163358,26.396175375777638,16.390312528878766,-0.38719855617083354,10.008082566149529
1977,5.122326107686714,2.692127808883157,31.518501483464355,18.939679266035267,-0.15424439772427423,10.398896613097701
1978,5.435464065681355,2.708645671811164,36.95396554914571,21.518762914649656,0.1265185489314744,10.744409582431235
1979,5.819285531226166,2.645337183512707,42.7732510803719,24.02759720707836,0.634424651541261,11.004146410911071
1980,6.222191699596226,2.6160255694759633,48.995442779968144,26.4578862698567,1.0947815834233374,11.349601815769114
1981,6.597218171643647,2.647920512564141,55.592660951611734,28.891334768048658,1.4072939670179307,11.787142376269362
1982,6.946873207055171,2.714186091602381,62.53953415866692,31.39449300232238,1.6270684675145048,12.266677946595838
1983,7.31564717832433,2.7627691959133616,69.85518133699125,33.96219888971785,1.900619554334141,12.730674802314518
1984,7.707535850311818,2.813556958450118,77.56271718730311,36.58959629843829,2.1929642117495867,13.22210748887405
1985,8.147083884004893,2.850320782470613,85.70980107130791,39.24692741411204,2.5604551503624906,13.733712617647296
1986,8.654545215440475,2.917982833784819,94.3643462867484,41.90527663646749,2.93529886122223,14.37379156965872
1987,9.142699783304188,3.0164768033259564,103.50704607005265,44.62756676994386,3.2304052487853134,15.054994317823063
1988,9.620041315119044,3.0875803356670763,113.12708738517165,47.43029541767264,3.5683838572115745,15.671698773026513
1989,10.118925133783634,3.1491499683811406,123.24601251895528,50.31119461650392,3.9465911957565982,16.29125907181067
1990,10.652425063115867,3.2123063510322156,133.89843758207115,53.26409772853923,4.356304615092725,16.94854551113901
1991,11.226173380674284,3.289455297860049,145.1246109627455,56.283032794614016,4.778840996868588,17.67350576447998
1992,11.821250731421374,3.3501410879746896,156.9458616941669,59.369080337295706,5.254974198990983,18.387527263851766
1993,12.455122399002747,3.4183614680229573,169.40098409316954,62.51660705282873,5.755133921677751,19.155110876327743
1994,13.109388370997845,3.472882121835291,182.5103724641675,65.7281034119342,6.302539412200675,19.916237329795017
1995,13.800652478713587,3.5241245629322653,196.31102494288098,68.997905190731,6.893368335366348,20.707936622060828
1996,14.531423088255297,3.571600808552191,210.84244803113654,72.31968633603104,7.531085503493002,21.53176067301759
1997,15.30430811464072,3.6144731809592385,226.146756145777,75.68629142328808,8.219940679960613,22.38867554932083
1998,16.123103630785067,3.6516793101374523,242.26985977656193,79.0887941776978,8.965812182915661,23.28039507865447
1999,16.99395425015813,3.6837447115057382,259.2638140267202,82.51497750672318,9.773814615606883,24.214093884709378
2000,17.907805645577426,3.7078483829877817,277.1716196722977,85.96025556776132,10.640422814921374,25.17518847623348
2001,18.873655181774396,3.723307000712191,296.0452748540722,89.4143266479888,11.575973460378503,26.17133690317029
2002,19.896113021311805,3.729715626922906,315.9413878753841,92.86474614449601,12.585870392542908,27.206355650080702
2003,20.97895923709673,3.7262366876339166,336.9203471124805,96.29744619073062,13.675535329334256,28.282383144859207
2004,22.126074754749908,3.712024769606164,359.0464218672304,99.69662492688428,14.850506206321826,29.40164330317799
2005,23.341610428641648,3.686400980886976,382.3880322958723,103.0445531837726,16.116264506103175,30.56695635118012
2006,24.630013167018692,3.648998197530152,407.0180454628908,106.3213719743165,17.477976699859596,31.78204963417779
2007,25.996050416101667,3.5999820526065447,433.0140958789922,109.50488592462825,18.94008559299284,33.0520152392105
2008,27.44483690612588,3.540389778523858,460.4589327851183,112.5703588388565,20.505672940219117,34.384000872032644
2009,28.9818639231172,3.4726436512758,489.44079670823555,115.49032172548341,22.17548236661663,35.78824547961777
2010,30.613031405027776,3.4013111003944076,520.0538281132633,118.23440989396977,23.946461648254736,37.27960116180081
2011,32.34468319858311,3.33417866726339,552.3985113118465,120.76925530893968,25.80969301074687,38.879673386419356
2012,34.18364585572818,3.2836322910998956,586.5821571675742,123.05847506846284,27.747726565172385,40.619565146283975
2013,36.13727139739692,3.2680975396338163,622.7194285649715,125.06281950851645,29.731800219714643,42.5427425750792
2014,38.21348452876314,3.3128126374298126,660.9329130937348,126.74057858321693,31.720371759400706,44.70659729812557
2015,40.42083485545589,3.448713346044732,701.3537479491908,128.04840014762684,33.66135669720821,47.18031301370356
2016,42.76855472584188,3.7086146165658187,744.1223026750321,128.94276036792445,35.499670077372876,50.037439374310885
2017,45.26662341195771,4.121981494664461,789.3889260869901,129.38246363734524,37.18753968241536,53.34570714150006
2018,47.92583844278212,4.711655754255533,837.3147645297722,129.33276701539506,38.69099316444128,57.160683721122965
2019,50.75789502024238,5.494678217193378,888.0726595500153,128.77206774204268,39.98832571454336,61.5274643259414
2020,53.775474582764275,6.485911456750936,941.8481341327783,127.70262414332194,41.06308812753244,66.48786103799611
2021,56.99234371064982,7.701847798223464,998.840477843429,126.16756386552169,41.896722026131826,72.08796539516781
2022,60.423449755388305,9.16326891874255,1059.2639275988165,124.27744760978801,42.46344267465291,78.3834568361237
2023,64.0762933032139,10.900714905790377,1123.3402209020317,122.2453734025913,42.710892087864764,85.44169451856304
2024,67.7017934103592,13.68930174894016,1191.0420143123906,120.37375340411815,40.87076198243649,94.53282483828191
2025,71.86881599313872,16.027784548693905,1262.9108303055286,119.5492966779626,40.454358277698674,103.28327370857878
